year,day,denMice,meanBurdenLarvae,meanBurdenNymphs,prevBbMice,prevBbNymphs,prevBabMice,prevBabNymphs
2014,133,7.9,1.57,0.71,0.23,0.26,0.69,0.46
2014,148,20.1,1.78,0.97,0.06,0.18,0.65,0.29
2014,161,22.3,1.12,1.05,0.29,,0.79,
2014,175,22.6,0.74,0.72,0.26,,0.74,
2014,189,21.4,0.27,0.37,0.28,,0.83,
2014,203,22.8,3.05,0.28,0.38,,0.75,
2014,217,21.8,7.52,0.17,0.38,,0.84,
2015,139,4.6,6.47,0.79,0.1,0.35,0.3,0.37
2015,153,7,4.87,1.52,0.15,0.2,0.54,1
2015,167,8,3.7,1.13,0.54,0.12,0.85,0.51
2015,181,9,2.36,0.47,0.5,0.22,0.75,0.77
2015,195,15.4,1.38,0.33,0.62,0.18,0.69,0.7
2015,209,14.5,9.69,0.79,0.7,0.1,0.78,0.2
2015,223,12.9,9.44,0.08,0.46,0,0.74,0.87
2016,145,19.2,3.01,1.39,0.22,0.37,0.93,0.6
2016,159,44.1,1.16,0.93,0.17,0.29,0.97,0.55
2016,173,43.5,0.7,0.57,0.19,0.32,0.93,0.55
2016,187,41,0.48,0.3,0.25,0.33,0.83,0.41
2016,201,37.1,2.77,0.19,0.34,0.14,0.99,0.2
2016,215,28.1,6.52,0.14,0.18,,0.99,
2016,219,23,4.25,0.12,0.22,,0.94,
