Year,State,tag_num_orig,Site,tag_num,Session,New_Session,sex,age,date,Bor_burg,Bab_micro
2014,CT,107,HT,107HT,1,1,M,A,5/15/2014,Y,Y
2014,CT,108,HT,108HT,1,1,F,J,5/15/2014,N,N
2014,CT,110,LS,110LS,1,1,F,A,5/15/2014,N,Y
2014,CT,111,LS,111LS,1,1,F,A,5/15/2014,N,N
2014,CT,112,LS,112LS,1,1,M,A,5/15/2014,Y,N
2014,CT,114,LC,114LC,1,1,F,A,5/20/2014,N,Y
2014,CT,115,LC,115LC,1,1,F,A,5/20/2014,N,Y
2014,CT,116,LC,116LC,1,1,M,J,5/20/2014,N,Y
2014,CT,119,LC,119LC,1,1,M,A,5/21/2014,N,Y
2014,CT,120,LC,120LC,1,1,M,A,5/21/2014,N,Y
2014,CT,121,LC,121LC,1,1,F,A,5/21/2014,Y,Y
2014,CT,122,LC,122LC,1,1,F,J,5/21/2014,N,N
2014,CT,126,LC,126LC,1,1,M,A,5/22/2014,N,Y
2014,RI,121,RH,121RH,1,1,M,J,5/30/2014,N,Y
2014,RI,125,RH,125RH,1,1,M,J,5/29/2014,N,Y
2014,RI,127,RH,127RH,1,1,F,J,5/29/2014,N,N
2014,RI,128,RH,128RH,1,1,M,J,5/29/2014,Y,Y
2014,RI,129,RH,129RH,1,1,M,J,5/29/2014,Y,Y
2014,RI,130,RH,130RH,1,1,F,J,5/29/2014,N,Y
2014,RI,134,RH,134RH,1,1,M,J,5/31/2014,N,Y
2015,CT,701,HT,701HT,1,9,M,A,5/15/2015,N,Y
2015,CT,702,HT,702HT,1,9,F,A,5/19/2015,Y,N
2015,CT,703,HT,703HT,1,9,F,A,5/19/2015,N,Y
2015,CT,705,HT,705HT,1,9,M,J,5/20/2015,N,N
2015,CT,706,LC,706LC,1,9,F,J,5/26/2015,N,N
2015,CT,707,LC,707LC,1,9,F,A,5/26/2015,N,N
2015,CT,708,LC,708LC,1,9,M,A,5/26/2015,N,Y
2015,CT,709,LC,709LC,1,9,F,A,5/28/2015,N,N
2015,CT,710,LC,710LC,1,9,M,J,5/28/2015,N,N
2015,CT,711,LC,711LC,1,9,F,A,5/28/2015,N,N
2015,RI,102,MSR,102MSR,1,9,M,A,5/27/2015,Y,Y
2015,RI,105,MSR,105MSR,1,9,F,A,5/29/2015,Y,Y
2015,RI,160,BR,160BR,1,9,M,A,5/27/2015,Y,Y
2015,RI,164,MSR,164MSR,1,9,M,A,5/27/2015,Y,Y
2015,RI,201,MSR,201MSR,1,9,F,A,5/27/2015,N,N
2015,RI,202,MSR,202MSR,1,9,M,A,5/27/2015,Y,N
2015,RI,203,MSR,203MSR,1,9,M,A,5/27/2015,N,Y
2015,RI,205,BR,205BR,1,9,M,A,5/27/2015,Y,Y
2015,RI,207,BR,207BR,1,9,M,A,5/27/2015,N,Y
2015,RI,208,BR,208BR,1,9,M,A,5/28/2015,N,Y
2015,RI,209/253,BR,209/253BR,1,9,F,A,5/28/2015,Y,Y
2015,RI,210,BR,210BR,1,9,F,A,5/28/2015,Y,Y
2015,RI,211,BR,211BR,1,9,F,A,5/28/2015,N,N
2015,RI,212/300,BR,212/300BR,1,9,F,A,5/28/2015,Y,Y
2015,RI,213,MSR,213MSR,1,9,F,A,5/28/2015,Y,Y
2015,RI,214,MSR,214MSR,1,9,F,J,5/26/2015,N,N
2015,RI,215,BR,215BR,1,9,F,A,5/29/2015,Y,Y
2015,RI,216,BR,216BR,1,9,F,J,5/29/2015,N,N
2015,RI,220,MSR,220MSR,1,9,F,A,5/29/2015,N,N
2015,RI,221,MSR,221MSR,1,9,F,A,5/29/2015,Y,N
2015,RI,222,RH,222RH,1,9,M,A,06/03/2015,Y,Y
2015,RI,223,RH,223RH,1,9,F,A,06/03/2015,Y,Y
2015,RI,224,RH,224RH,1,9,F,A,06/03/2015,Y,Y
2015,RI,225,RH,225RH,1,9,F,A,06/03/2015,Y,Y
2015,RI,226,RH,226RH,1,9,M,A,06/03/2015,Y,Y
2015,RI,228,RH,228RH,1,9,M,A,06/04/2015,Y,Y
2015,RI,229,RH,229RH,1,9,M,A,06/04/2015,Y,Y
2015,RI,230,RH,230RH,1,9,M,A,06/04/2015,Y,Y
2015,RI,232,RH,232RH,1,9,F,A,06/05/2015,Y,Y
2015,RI,233,RH,233RH,1,9,F,A,06/05/2015,Y,Y
2015,RI,234,RH,234RH,1,9,F,J,06/05/2015,N,N
2015,RI,235,RH,235RH,1,9,F,A,06/05/2015,Y,Y
2015,RI,236,RH,236RH,1,9,M,J,06/05/2015,N,Y
2015,RI,244,RH,244RH,1,9,F,A,06/05/2015,Y,Y
2015,RI,247,RH,247RH,1,9,F,J,06/05/2015,N,Y
2015,RI,69,BR,69BR,1,9,M,A,5/27/2015,Y,Y
2016,CT,833,LS,833LS,1,16,F,A,25-May-16,Y,Y
2016,CT,834,LS,834LS,1,16,M,A,24-May-16,N,Y
2016,CT,836,LS,836LS,1,16,M,A,24-May-16,N,Y
2016,CT,837,LS,837LS,1,16,M,J,24-May-16,N,Y
2016,CT,838,LS,838LS,1,16,F,J,24-May-16,N,Y
2016,CT,839,LS,839LS,1,16,M,A,24-May-16,N,Y
2016,CT,840,HT,840HT,1,16,M,A,24-May-16,Y,Y
2016,CT,841,HT,841HT,1,16,M,A,24-May-16,Y,Y
2016,CT,842,HT,842HT,1,16,F,A,24-May-16,Y,Y
2016,CT,843,HT,843HT,1,16,F,J,24-May-16,N,Y
2016,CT,844,HT,844HT,1,16,M,A,24-May-16,N,Y
2016,CT,846,LS,846LS,1,16,M,J,25-May-16,N,Y
2016,CT,847,HT,847HT,1,16,M,J,25-May-16,Y,Y
2016,CT,848,HT,848HT,1,16,M,J,25-May-16,N,Y
2016,CT,849,HT,849HT,1,16,F,J,25-May-16,N,Y
2016,CT,850,HT,850HT,1,16,F,J,25-May-16,N,Y
2016,CT,851,HT,851HT,1,16,M,A,25-May-16,Y,Y
2016,CT,854,LS,854LS,1,16,M,J,26-May-16,N,Y
2016,CT,855,HT,855HT,1,16,F,J,26-May-16,N,Y
2016,CT,856,HT,856HT,1,16,M,J,26-May-16,N,Y
2016,CT,857,LC,857LC,1,16,M,A,31-May-16,Y,Y
2016,CT,858,LC,858LC,1,16,M,A,31-May-16,N,Y
2016,CT,859,LC,859LC,1,16,M,A,31-May-16,Y,Y
2016,CT,860,LC,860LC,1,16,M,A,31-May-16,N,Y
2016,CT,862,LC,862LC,1,16,F,J,31-May-16,N,Y
2016,CT,864,LC,864LC,1,16,M,A,31-May-16,N,Y
2016,CT,865,LC,865LC,1,16,F,A,31-May-16,N,Y
2016,CT,867,LC,867LC,1,16,F,J,31-May-16,N,Y
2016,CT,870,LC,870LC,1,16,F,A,31-May-16,Y,Y
2016,CT,872,LC,872LC,1,16,F,J,31-May-16,N,Y
2016,CT,874,LC,874LC,1,16,F,J,01-Jun-16,N,N
2016,CT,876,LC,876LC,1,16,M,J,01-Jun-16,N,Y
2016,CT,877,LC,877LC,1,16,F,J,01-Jun-16,N,Y
2016,CT,878,LC,878LC,1,16,M,A,01-Jun-16,N,Y
2016,CT,882,LC,882LC,1,16,F,J,02-Jun-16,N,Y
2016,CT,884,LC,884LC,1,16,M,J,01-Jun-16,N,Y
2016,CT,891,LC,891LC,1,16,F,J,01-Jun-16,N,Y
